S.No,Block,PLOT NO.,Street No.,PLOT SIZE,Status
1,AA,103,AA-37,25x50,Corner
2,AA,104,AA-37,25x50,
3,AA,105,AA-37,25x50,
4,AA,106,AA-37,25x50,
5,AA,107,AA-37,25x50,
6,AA,108,AA-37,25x50,
7,AA,109,AA-37,25x50,
8,AA,110,AA-37,25x50,
9,AA,111,AA-37,25x50,
10,AA,112,AA-37,25x50,
11,AA,113,AA-37,25x50,
12,AA,114,AA-37,25x50,
13,AA,115,AA-37,25x50,Corner
14,AA,116,AA-37,25x50,Corner
15,AA,117,AA-37,25x50,
16,AA,118,AA-37,25x50,
17,AA,119,AA-37,25x50,
18,AA,120,AA-37,25x50,
19,AA,121,AA-37,25x50,
20,AA,122,AA-37,25x50,
21,AA,123,AA-37,25x50,
22,AA,124,AA-37,25x50,
23,AA,125,AA-37,25x50,
24,AA,126,AA-37,25x50,
25,AA,127,AA-37,25x50,
26,AA,128,AA-37,25x50,
27,AA,129,AA-37,25x50,Corner
28,AA,130,AA-37,25x50,Corner
29,AA,131,AA-37,25x50,
30,AA,132,AA-37,25x50,
31,AA,133,AA-37,25x50,
32,AA,134,AA-37,25x50,
33,AA,135,AA-37,25x50,
34,AA,136,AA-37,25x50,
35,AA,137,AA-37,25x50,
36,AA,138,AA-37,25x50,
37,AA,139,AA-37,25x50,
38,AA,140,AA-37,25x50,
39,AA,142,AA-37,25x50,Corner
40,AA,143,AA-36,25x50,Corner
41,AA,144,AA-36,25x50,
42,AA,145,AA-36,25x50,
43,AA,146,AA-36,25x50,
44,AA,147,AA-36,25x50,
45,AA,148,AA-36,25x50,
46,AA,149,AA-36,25x50,
47,AA,150,AA-36,25x50,
48,AA,151,AA-36,25x50,
49,AA,152,AA-36,25x50,
50,AA,153,AA-36,25x50,
51,AA,154,AA-36,25x50,
52,AA,155,AA-36,25x50,Corner
53,AA,156,AA-36,25x50,Corner
54,AA,157,AA-36,25x50,
55,AA,158,AA-36,25x50,
56,AA,159,AA-36,25x50,
57,AA,160,AA-36,25x50,
58,AA,161,AA-36,25x50,
59,AA,162,AA-36,25x50,
60,AA,163,AA-36,25x50,
61,AA,164,AA-36,25x50,
62,AA,165,AA-36,25x50,
63,AA,166,AA-36,25x50,
64,AA,167,AA-36,25x50,
65,AA,168,AA-36,25x50,
66,AA,169,AA-36,25x50,Corner
67,AA,170,AA-36,25x50,Corner
68,AA,171,AA-36,25x50,
69,AA,172,AA-36,25x50,
70,AA,173,AA-36,25x50,
71,AA,174,AA-36,25x50,
72,AA,175,AA-36,25x50,
73,AA,176,AA-36,25x50,
74,AA,177,AA-36,25x50,
75,AA,178,AA-36,25x50,
76,AA,179,AA-36,25x50,
77,AA,180,AA-36,25x50,
78,AA,181,AA-36,25x50,
79,AA,182,AA-36,25x50,Corner
80,AA,317,AA-36,25x50,Corner
81,AA,318,AA-36,25x50,
82,AA,319,AA-36,25x50,
83,AA,321,AA-36,25x50,
84,AA,322,AA-36,25x50,
85,AA,323,AA-36,25x50,
86,AA,324,AA-36,25x50,
87,AA,325,AA-36,25x50,
88,AA,326,AA-36,25x50,
89,AA,327,AA-36,25x50,
90,AA,328,AA-36,25x50,
91,AA,329,AA-36,25x50,
92,AA,330,AA-36,25x50,
93,AA,331,AA-36,25x50,Corner
94,AA,332,AA-36,25x50,Corner
95,AA,333,AA-36,25x50,
96,AA,334,AA-36,25x50,
97,AA,335,AA-36,25x50,
98,AA,336,AA-36,25x50,
99,AA,337,AA-36,25x50,
100,AA,338,AA-36,25x50,
101,AA,339,AA-36,25x50,
102,AA,340,AA-36,25x50,
103,AA,341,AA-36,25x50,
104,AA,342,AA-36,25x50,
105,AA,343,AA-36,25x50,
